cityid,ADM3,total_weeks,total_cases,flood_weeks,flood_occurrence_rate,total_attributable_cases_point,total_attributable_cases_lower,total_attributable_cases_upper,paf_percent,paf_lower_percent,paf_upper_percent,avg_population,avg_population_density
160706,PE160706,1272,72592,60,4.71698113207547,1455.728726,896.6878871,1915.185251,36.07753969,22.22274813,47.4643185,10092.63203,0.856209982
160113,PE160113,1272,104815,60,4.71698113207547,1213.648435,747.5732471,1596.699674,36.07753969,22.22274813,47.4643185,93650.19951,29.25929715
160705,PE160705,1272,47863,60,4.71698113207547,790.8196699,487.122639,1040.417861,36.07753969,22.22274813,47.4643185,9242.623203,1.015699154
160403,PE160403,1272,31320,60,4.71698113207547,770.9770231,474.9001276,1014.312486,36.07753969,22.22274813,47.4643185,12207.2335,0.851283374
160303,PE160303,1272,52667,63,4.95283018867925,751.1343763,462.6776161,988.2071111,36.07753969,22.22274813,47.4643185,10848.06667,0.538949422
160107,PE160107,1272,45775,60,4.71698113207547,637.1293509,392.453732,838.2198646,36.07753969,22.22274813,47.4643185,11520.54935,0.476608297
160102,PE160102,1272,30315,60,4.71698113207547,634.2431477,390.6759121,834.4227192,36.07753969,22.22274813,47.4643185,6906.659314,0.474258479
160401,PE160401,1272,24755,60,4.71698113207547,603.577239,371.7865762,794.0780484,36.07753969,22.22274813,47.4643185,11589.12173,1.689726189
160108,PE160108,1272,44016,60,4.71698113207547,580.848389,357.7862449,764.1755278,36.07753969,22.22274813,47.4643185,82317.08922,51.35328804
160304,PE160304,1272,33564,63,4.95283018867925,536.1122398,330.2300372,705.3197729,36.07753969,22.22274813,47.4643185,19819.37647,1.576419964
160106,PE160106,1272,38236,60,4.71698113207547,528.8967318,325.7854876,695.8269092,36.07753969,22.22274813,47.4643185,8452.710458,0.840761882
160101,PE160101,1272,73075,60,4.71698113207547,521.6812239,321.340938,686.3340455,36.07753969,22.22274813,47.4643185,124725.259,340.3197373
120608,PE120608,1272,22651,71,5.58176100628931,413.8093802,254.8949211,544.4157331,36.07753969,22.22274813,47.4643185,74368.73758,7.280915073
170203,PE170203,1272,14987,43,3.38050314465409,345.9836056,213.1161546,455.1828144,36.07753969,22.22274813,47.4643185,5175.286928,0.659648826
50408,PE050408,1272,8100,47,3.69496855345912,300.5259056,185.1154919,395.3777731,36.07753969,22.22274813,47.4643185,6590.408824,12.77291164
120606,PE120699,1272,13374,71,5.58176100628931,283.5694619,174.6708003,373.0695434,36.07753969,22.22274813,47.4643185,40572.80556,7.148866942
160301,PE160301,1272,19072,63,4.95283018867925,279.2401572,172.0040705,367.3738252,36.07753969,22.22274813,47.4643185,16364.74788,2.420201937
220504,PE220504,1272,14599,63,4.95283018867925,231.2570294,142.4478155,304.2462816,36.07753969,22.22274813,47.4643185,16150.2219,12.69978898
160801,PE160801,1272,4965,59,4.63836477987421,214.6613611,132.2253514,282.4126951,36.07753969,22.22274813,47.4643185,4825.093137,0.435944895
160305,PE160305,1272,27144,63,4.95283018867925,201.6734469,124.2251621,265.3255404,36.07753969,22.22274813,47.4643185,10374.44118,0.65757795
170204,PE170204,1272,10287,43,3.38050314465409,194.4579389,119.7806124,255.8326767,36.07753969,22.22274813,47.4643185,2701.566013,1.773495667
160511,PE160511,1272,11494,60,4.71698113207547,176.0583937,108.4470109,231.6258743,36.07753969,22.22274813,47.4643185,6002.304575,0.543255318
220503,PE220503,1272,10975,63,4.95283018867925,161.2666024,99.33568414,212.1655037,36.07753969,22.22274813,47.4643185,8902.054248,8.418138321
80910,PE080910,1272,6578,63,4.95283018867925,160.1842762,98.6690017,210.7415741,36.07753969,22.22274813,47.4643185,5901.792974,7.257637411
50407,PE050407,1272,6701,47,3.69496855345912,152.2472175,93.77999711,200.2994241,36.07753969,22.22274813,47.4643185,10537.72696,11.75118557
80907,PE080907,1272,7190,63,4.95283018867925,149.3610143,92.00217726,196.5022786,36.07753969,22.22274813,47.4643185,7495.919118,9.531342551
160112,PE160112,1272,14634,60,4.71698113207547,136.3731,84.00198793,179.4151239,36.07753969,22.22274813,47.4643185,60291.24036,92.28480203
160508,PE160508,1272,8885,60,4.71698113207547,128.4360413,79.11298335,168.9729738,36.07753969,22.22274813,47.4643185,2944.002778,0.626666564
160110,PE160110,1272,15328,60,4.71698113207547,126.2713889,77.77961846,166.1251147,36.07753969,22.22274813,47.4643185,3655.821242,0.528283054
