cityid,ADM3,flood_weeks,total_cases,mean_paf_percent,mean_paf_lower,mean_paf_upper,total_attributable_cases,total_attributable_lower,total_attributable_upper
220204,PE220204,67,0,42.34988605,29.0187662,55.68100589,0,0,0
220506,PE220506,67,1,42.34988605,29.0187662,55.68100589,0.535367457,0.388602147,0.682132768
220902,PE220902,67,0,42.34988605,29.0187662,55.68100589,0,0,0
61004,PE061004,50,0,41.59818931,28.70952863,54.74824139,0,0,0
10107,PE010107,34,0,41.50305091,28.37706635,54.7199383,0,0,0
10305,PE010305,34,0,41.50305091,28.37706635,54.7199383,0,0,0
10312,PE010312,34,0,41.50305091,28.37706635,54.7199383,0,0,0
10602,PE010602,34,0,41.50305091,28.37706635,54.7199383,0,0,0
10609,PE010609,34,0,41.50305091,28.37706635,54.7199383,0,0,0
50509,PE050509,34,3,41.50305091,28.37706635,54.7199383,1.396447317,1.009819899,1.783074735
50510,PE050510,34,0,41.50305091,28.37706635,54.7199383,0,0,0
50512,PE050511,34,0,41.50305091,28.37706635,54.7199383,0,0,0
50513,PE050511,34,0,41.50305091,28.37706635,54.7199383,0,0,0
50406,PE050406,52,0,41.41178276,28.2232673,54.65973469,0,0,0
50409,PE050409,52,0,41.41178276,28.2232673,54.65973469,0,0,0
50410,PE050410,52,0,41.41178276,28.2232673,54.65973469,0,0,0
21401,PE021401,62,0,41.06926932,28.18663546,54.1627027,0,0,0
22006,PE022006,62,0,41.06926932,28.18663546,54.1627027,0,0,0
120203,PE120203,79,0,40.80163883,27.92399512,53.88384288,0,0,0
120205,PE120205,79,0,40.80163883,27.92399512,53.88384288,0,0,0
120407,PE120407,79,0,40.80163883,27.92399512,53.88384288,0,0,0
250304,PE250304,61,0,40.67246713,27.92140935,53.68844731,0,0,0
250305,PE250305,61,0,40.67246713,27.92140935,53.68844731,0,0,0
21510,PE021510,72,0,40.35564499,27.52702689,53.36578489,0,0,0
21603,PE021603,72,1,40.35564499,27.52702689,53.36578489,0.535367457,0.388602147,0.682132768
22005,PE022005,72,0,40.35564499,27.52702689,53.36578489,0,0,0
10103,PE010103,44,1,40.23671527,27.25442712,53.28924652,0.377756328,0.224092409,0.531420246
10106,PE010106,44,0,40.23671527,27.25442712,53.28924652,0,0,0
10301,PE010301,44,0,40.23671527,27.25442712,53.28924652,0,0,0
10401,PE010401,44,23,40.23671527,27.25442712,53.28924652,8.279500748,5.677982704,10.88101879
10402,PE010402,44,0,40.23671527,27.25442712,53.28924652,0,0,0
10403,PE010403,44,113,40.23671527,27.25442712,53.28924652,32.39036049,19.28522382,45.65003197
10610,PE010610,44,0,40.23671527,27.25442712,53.28924652,0,0,0
10701,PE010701,44,3,40.23671527,27.25442712,53.28924652,1.164927764,0.787197019,1.542658509
10702,PE010702,44,0,40.23671527,27.25442712,53.28924652,0,0,0
10704,PE010704,44,1,40.23671527,27.25442712,53.28924652,0.535367457,0.388602147,0.682132768
10705,PE010705,44,0,40.23671527,27.25442712,53.28924652,0,0,0
50401,PE050401,69,7,39.22373172,26.30607129,52.18618484,2.529005794,1.729072867,3.328938721
50402,PE050402,69,5,39.22373172,26.30607129,52.18618484,1.839418931,1.23622589,2.442611971
50405,PE050405,69,0,39.22373172,26.30607129,52.18618484,0,0,0
50407,PE050407,69,469,39.22373172,26.30607129,52.18618484,197.9952213,134.0942408,261.8962019
50408,PE050408,69,967,39.22373172,26.30607129,52.18618484,443.7061532,310.4466828,576.9656236
120609,PE120609,84,49,39.18444692,26.71052637,52.00634173,9.846790616,6.064622164,14.47494721
200201,PE200201,69,0,39.04798881,26.29840118,51.88716184,0,0,0
200203,PE200203,69,2,39.04798881,26.29840118,51.88716184,0.333246721,0.13853734,0.558863063
200204,PE200204,69,0,39.04798881,26.29840118,51.88716184,0,0,0
200207,PE200207,69,1,39.04798881,26.29840118,51.88716184,0.227205964,0.098571989,0.355839938
200208,PE200208,69,3,39.04798881,26.29840118,51.88716184,0.528059772,0.233684815,0.853341691
200209,PE200209,69,0,39.04798881,26.29840118,51.88716184,0,0,0
200210,PE200210,69,6,39.04798881,26.29840118,51.88716184,1.49505832,0.912787344,2.077329295
200501,PE200501,69,0,39.04798881,26.29840118,51.88716184,0,0,0
200505,PE200505,69,4,39.04798881,26.29840118,51.88716184,1.833308336,1.26437843,2.402238242
200506,PE200506,69,0,39.04798881,26.29840118,51.88716184,0,0,0
200701,PE200701,69,3,39.04798881,26.29840118,51.88716184,0.630038767,0.328832289,0.931245246
200706,PE200706,69,2,39.04798881,26.29840118,51.88716184,0.493707535,0.307949584,0.679465486
200802,PE200802,69,0,39.04798881,26.29840118,51.88716184,0,0,0
60201,PE060201,66,1,38.97952284,26.41332476,51.79057343,0.325712402,0.232615605,0.4188092
60203,PE060203,66,0,38.97952284,26.41332476,51.79057343,0,0,0
60204,PE060204,66,12,38.97952284,26.41332476,51.79057343,4.191879869,2.695280108,5.71938659
60301,PE060301,66,0,38.97952284,26.41332476,51.79057343,0,0,0
60302,PE060302,66,1,38.97952284,26.41332476,51.79057343,0.25329487,0.169412244,0.337177495
60303,PE060303,66,0,38.97952284,26.41332476,51.79057343,0,0,0
60311,PE060311,66,0,38.97952284,26.41332476,51.79057343,0,0,0
60418,PE060418,66,0,38.97952284,26.41332476,51.79057343,0,0,0
60601,PE060601,66,1,38.97952284,26.41332476,51.79057343,0.310928239,0.159055996,0.462800481
60607,PE060607,66,3,38.97952284,26.41332476,51.79057343,0.380481162,0.095147474,0.727628772
60901,PE060901,66,6,38.97952284,26.41332476,51.79057343,1.17728475,0.525976267,1.859500194
60902,PE060902,66,1,38.97952284,26.41332476,51.79057343,0.227205964,0.098571989,0.355839938
61007,PE061007,66,4,38.97952284,26.41332476,51.79057343,1.649742187,1.179232142,2.120252231
61303,PE061303,66,0,38.97952284,26.41332476,51.79057343,0,0,0
220401,PE220401,89,3,38.86102499,26.17365119,51.69524789,1.029813971,0.675361144,1.384266798
220402,PE220402,89,0,38.86102499,26.17365119,51.69524789,0,0,0
220406,PE220406,89,0,38.86102499,26.17365119,51.69524789,0,0,0
220601,PE220601,89,0,38.86102499,26.17365119,51.69524789,0,0,0
220602,PE220602,89,0,38.86102499,26.17365119,51.69524789,0,0,0
220603,PE220603,89,2,38.86102499,26.17365119,51.69524789,0.337395437,0.183664209,0.491126665
220605,PE220605,89,1,38.86102499,26.17365119,51.69524789,0.310928239,0.159055996,0.462800481
220801,PE220801,89,111,38.86102499,26.17365119,51.69524789,25.67421206,15.66265943,36.86202603
220802,PE220802,89,5,38.86102499,26.17365119,51.69524789,1.095932897,0.506828347,1.685037446
