ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
Abancay,PE030101,Abancay,PE0301,Apurimac,58356.16406,58008.53906,60434.32031,66766.89063,68371.97656,97486.28125
Abelardo Pardo Lezameta,PE020502,Bolognesi,PE0205,Ancash,2426.76123046875,2592.70751953125,2539.4677734375,2847.726563,2789.4345703125,3064.323974609375
Acari,PE040302,Caraveli,PE0403,Arequipa,4907.839844,5294.96630859375,5141.59375,5728.94580078125,5522.81884765625,6782.861328
Acas,PE021402,Ocros,PE0214,Ancash,901.49365234375,863.669677734375,914.8170166015625,893.7154541015625,983.6820678710938,1037.48974609375
Accha,PE081002,Paruro,PE0810,Cusco,3633.133056640625,3528.56201171875,3751.4658203125,3872.76708984375,3981.43701171875,4647.4638671875
Accomarca,PE051102,Vilcas Huaman,PE0511,Ayacucho,913.7588500976562,838.1926879882812,934.5097656,917.5126953,977.1429443359375,988.4002075195312
Achaya,PE210202,Azangaro,PE2102,Puno,3956.409423828125,3924.304443359375,4093.403564453125,4132.773438,4366.3154296875,4803.228516
Achoma,PE040502,Caylloma,PE0405,Arequipa,723.64794921875,703.164794921875,744.7434692382812,737.7119750976562,798.7161254882812,920.4299926757812
Aco,PE020902,Corongo,PE0209,Ancash,395.9913635253906,377.9085693359375,405.4913330078125,398.382080078125,429.71868896484375,428.5899658203125
Aco,PE120202,Concepcion,PE1202,Junin,1809.9959716796875,1879.35205078125,1915.56591796875,2218.423828,2080.39892578125,2783.0029296875
Acobamba,PE021902,Sihuas,PE0219,Ancash,1718.882813,1638.169922,1766.9754638671875,1695.767822265625,1885.1572265625,1894.669922
Acobamba,PE090201,Acobamba,PE0902,Huancavelica,11020.30078,10726.6591796875,11471.017578125,12502.322265625,12550.587890625,17324.853515625
Acobamba,PE120702,Tarma,PE1207,Junin,16674.564453125,16491.251953125,17548.017578125,18822.67188,19122.48047,24946.958984375
Acobambilla,PE090102,Huancavelica,PE0901,Huancavelica,3955.533203,3673.78125,4043.276611328125,3982.057861328125,4326.14599609375,4424.67236328125
Acochaca,PE020402,Asuncion,PE0204,Ancash,2967.306884765625,2907.77294921875,3112.34716796875,3246.989990234375,3549.849609,5481.986328
Acocro,PE050102,Huamanga,PE0501,Ayacucho,10284.3857421875,9834.964844,10679.728515625,10504.24219,11473.48828,12867.138671875
Acolla,PE120402,Jauja,PE1204,Junin,7297.8056640625,7093.640625,7710.6005859375,8500.873047,8464.523438,11203.75781
Acomayo,PE080201,Acomayo,PE0802,Cusco,5293.318359,5274.58447265625,5488.902344,5721.894531,5951.603516,7618.32861328125
Acopampa,PE020602,Carhuaz,PE0206,Ancash,3026.0048828125,2922.2099609375,3181.27197265625,3111.25830078125,3544.24462890625,4267.9638671875
Acopia,PE080202,Acomayo,PE0802,Cusco,2187.58935546875,2208.854248046875,2281.671875,2508.396728515625,2489.565673828125,3044.49951171875
Acora,PE210102,Puno,PE2101,Puno,24522.552734375,23015.90625,25409.89453,25227.63281,27738.33984,33911.47656
Acoria,PE090103,Huancavelica,PE0901,Huancavelica,37756.72656,37089.39063,39186.75391,42549.32031,42970,55939.48828
Acos,PE080203,Acomayo,PE0802,Cusco,2112.246094,2027.11865234375,2172.466797,2148.79541015625,2313.941406,2610.2451171875
Acos Vinchos,PE050103,Huamanga,PE0501,Ayacucho,5983.6748046875,5713.6376953125,6211.267578,6392.6220703125,6754.056641,7964.78759765625
Acostambo,PE090702,Tayacaja,PE0907,Huancavelica,4002.842041015625,3689.916259765625,4183.81103515625,4112.501953,4470.9423828125,4808.892578
Acraquia,PE090703,Tayacaja,PE0907,Huancavelica,4680.933594,4508.576172,4928.554688,5067.9130859375,5310.76220703125,6536.46923828125
Aczo,PE020302,Antonio Raymondi,PE0203,Ancash,2990.96142578125,3126.874755859375,3167.844970703125,3655.948486328125,3506.8779296875,4469.98583984375
Agallpampa,PE130602,Otuzco,PE1306,La Libertad,8008.3125,6876.2373046875,8373.8876953125,7756.111328,9069.867188,9499.78125
Agua Blanca,PE220302,El Dorado,PE2203,San Martin,3670.80517578125,3808.80908203125,3789.95654296875,3961.7861328125,4038.421142578125,4245.306641
Aguas Verdes,PE240302,Zarumilla,PE2403,Tumbes,27550.91016,28173.650390625,28886.89063,31769.75391,31437.275390625,38914.01563
Ahuac,PE120902,Chupaca,PE1209,Junin,6920.21142578125,7221.025391,7317.64111328125,8612.808594,8145.97119140625,12202.5419921875
Ahuaycha,PE090704,Tayacaja,PE0907,Huancavelica,6187.80322265625,6365.8486328125,6433.2587890625,7004.296875,6980.125,9336.464844
Aija,PE020201,Aija,PE0202,Ancash,1757.4307861328125,1945.59228515625,1804.570556640625,1913.4677734375,1974.8375244140625,2271.338134765625
